site_id,alternative,expert_id,criterion_id,term
B,A5,DM7,D1,AI
B,A5,DM7,D2,AI
B,A5,DM7,D3,VSI
B,A5,DM7,D4,AI
B,A5,DM7,D5,AI
B,A5,DM7,D6,AI
B,A5,DM7,D7,VSI
B,A5,DM7,D8,SI
B,A5,DM7,D9,VSI
B,A5,DM7,D10,SI
B,A5,DM8,D1,EI
B,A5,DM8,D2,VSI
B,A5,DM8,D3,EI
B,A5,DM8,D4,SI
B,A5,DM8,D5,SI
B,A5,DM8,D6,EI
B,A5,DM8,D7,SI
B,A5,DM8,D8,SI
B,A5,DM8,D9,SI
B,A5,DM8,D10,VSI
B,A5,DM9,D1,AI
B,A5,DM9,D2,AI
B,A5,DM9,D3,SI
B,A5,DM9,D4,AI
B,A5,DM9,D5,SI
B,A5,DM9,D6,VSI
B,A5,DM9,D7,SI
B,A5,DM9,D8,EI
B,A5,DM9,D9,VSI
B,A5,DM9,D10,VSI
B,A5,DM10,D1,VSI
B,A5,DM10,D2,VSI
B,A5,DM10,D3,EI
B,A5,DM10,D4,EI
B,A5,DM10,D5,AI
B,A5,DM10,D6,AI
B,A5,DM10,D7,VSI
B,A5,DM10,D8,AI
B,A5,DM10,D9,EI
B,A5,DM10,D10,EI
