analysis,criterion_id,candidate,domain,raw_importance,raw_ci_low,raw_ci_high,normalized_weight,weight_ci_low,weight_ci_high,permutation_repeats,bootstrap_repeats
first_encounter_explanation_partition,D1,xgb_medium,D1_prior_testing_treatment,0.0048656523440188003,0.0043386340247092998,0.0053525807194909998,0.049964473114738402,0.044853379476118102,0.054837701022937099,20,500
first_encounter_explanation_partition,D2,xgb_medium,D2_prior_utilization,0.0005980839732213,0.00043834176643019998,0.00075801273346780002,0.0061416123651144997,0.0045412504029339997,0.0078569461434487998,20,500
first_encounter_explanation_partition,D3,xgb_medium,D3_triage_urgency_pain,0.025310372625093801,0.024339930363969899,0.0262174076955391,0.2599074786148784,0.25216638934723928,0.2669792324584831,20,500
first_encounter_explanation_partition,D4,xgb_medium,D4_patient_vulnerability,0.039339276284196902,0.038011788267093997,0.040717047213299599,0.40396766420667429,0.39351271192009912,0.41564209214016679,20,500
first_encounter_explanation_partition,D5,xgb_medium,D5_respiratory_status,0.0025976811206421002,0.0021908616518266999,0.0029620299967063998,0.026675101165527799,0.022692564989237302,0.030183174523046401,20,500
first_encounter_explanation_partition,D6,xgb_medium,D6_prior_medication_device,2.0965252132756591e-05,6.9983311179824571e-06,3.416576045739759e-05,0.00021528824964620001,7.1971342394591188e-05,0.0003472158085739,20,500
first_encounter_explanation_partition,D7,xgb_medium,D7_circulatory_status,0.0049419426688054003,0.0043490814169814002,0.0054210318701139997,0.0507478841791155,0.045149883185422797,0.055542679730756002,20,500
first_encounter_explanation_partition,D8,xgb_medium,D8_arrival_mode,0.0169801034565433,0.016016551263266701,0.017827602817144701,0.1743655038738724,0.16709511373696029,0.1820710190153699,20,500
first_encounter_explanation_partition,D9,xgb_medium,D9_thermal_inflammatory,0.0024132744018747999,0.0020713117037006999,0.0027366027919138,0.0247814630897716,0.021287558234266899,0.028189897494031401,20,500
first_encounter_explanation_partition,D10,xgb_medium,D10_consciousness_neurologic,0.0003148885076378,0.00017727338237309999,0.00044250504520309999,0.0032335311406607001,0.0018156409284819999,0.0045628333850931003,20,500
