bootstrap_draw,raw_D1_prior_testing_treatment,raw_D2_prior_utilization,raw_D3_triage_urgency_pain,raw_D4_patient_vulnerability,raw_D5_respiratory_status,raw_D6_prior_medication_device,raw_D7_circulatory_status,raw_D8_arrival_mode,raw_D9_thermal_inflammatory,raw_D10_consciousness_neurologic,weight_D1_prior_testing_treatment,weight_D2_prior_utilization,weight_D3_triage_urgency_pain,weight_D4_patient_vulnerability,weight_D5_respiratory_status,weight_D6_prior_medication_device,weight_D7_circulatory_status,weight_D8_arrival_mode,weight_D9_thermal_inflammatory,weight_D10_consciousness_neurologic
1,0.0049638341134542584,0.00052590098865493921,0.025408879214940665,0.037950027036974712,0.0026644705865121218,6.4179638805577886e-06,0.0052391295122141439,0.017946740329559441,0.0019450069990476322,0.00028970943432691187,0.05120515952610976,0.0054250088547531288,0.26210902375931716,0.39147907525382608,0.027485737499804881,6.6205448616025818e-05,0.054045009627485194,0.18513223458816683,0.020064005240563478,0.0029885402013576459
2,0.004960072657633814,0.0007030137929522187,0.026393274056109809,0.038547075738584881,0.0026313436878596923,1.9106107965980042e-05,0.0050866750228724198,0.017172042291732623,0.0023322795577406063,0.00024838594873994864,0.050564862555473163,0.0071667893333217346,0.26906304950637183,0.39296351508826149,0.026824915902806543,0.00019477491358577907,0.051855495100469343,0.17505831430551119,0.023776142693512935,0.0025321406006858418
3,0.0046330847380604097,0.00047397123177775785,0.024383061213301381,0.038612769808697676,0.0024516013875049473,1.9403705704683327e-05,0.0052716128721649238,0.017060592886395103,0.0024823621407676984,0.00027335022555620577,0.048431915807290907,0.0049546546394807212,0.25488814355271461,0.40363829331644019,0.02562779631835195,0.00020283648889877476,0.055106764764291175,0.1783427770074125,0.025949353616873127,0.0028574644882459989
4,0.0050196977443786499,0.0004818632791427596,0.025418830735055534,0.039324754945965316,0.0024582611446494749,2.4479054293707331e-05,0.0045191217586052343,0.017007928985428859,0.0023213597388705275,0.00025492141219921684,0.051839662937835318,0.0049763215326768138,0.26250656606860617,0.40611649253079773,0.025387072218544558,0.0002528012617978528,0.046670090645095481,0.17564509872384926,0.023973257464609623,0.0026326366161873696
5,0.0051894451397085555,0.00064692953638022265,0.024946538964641232,0.038923876711913816,0.0022758647749572098,1.1991549768312559e-05,0.0048990760295595992,0.017344113763331229,0.002523485943642999,0.00038456953371807361,0.053419089944704824,0.0066593607141826614,0.25679458456248272,0.40067444882693182,0.023427287858804179,0.00012343856778604821,0.050430089542037086,0.17853676996123277,0.025976249669966516,0.0039586803518714348
6,0.0040598002584706361,0.00055214637908101874,0.025136451555098829,0.038925977291533603,0.0025607235211888265,1.910382615939305e-05,0.0053558132542537483,0.016837830228381052,0.0023916876319071082,0.00032434959231494929,0.042217515652328459,0.0057417229708760543,0.26139180979587012,0.40478790850823043,0.026628744877660551,0.00019865905427755205,0.055694643947232822,0.1750951564020321,0.024870955122692533,0.0033728836687992856
7,0.0046416487701446511,0.00060058236942064002,0.024905106764894266,0.040650896093668065,0.0029038761755230177,2.1971155218598595e-05,0.0052029718376176608,0.017177702600913409,0.0025032118202911176,0.00022209755213122983,0.046965958826170412,0.0060769196961567209,0.25199929525149106,0.41132115046323248,0.029382518077011036,0.00022231246319138082,0.052645638048063687,0.17381049558766112,0.025328444504712479,0.0022472670823095275
8,0.0047925100584921563,0.00065003687750924029,0.025779461482546378,0.039832163630647559,0.0025073603223778052,1.6512255198488227e-05,0.0048737303560915666,0.017089532525996983,0.002550799832000912,0.00026705493838985515,0.048724592070902031,0.0066088085994848592,0.26209517125975573,0.40496647905113603,0.025491883666710916,0.00016787714347961177,0.04955034430096697,0.17374621875568835,0.025933525386877036,0.0027150997649986182
9,0.0053687529155514897,0.00055981324384335104,0.025168920553573618,0.03963370101125268,0.0024717767263484152,3.2953984112029512e-05,0.0046826410938443815,0.017355106736845722,0.0022831243727430618,0.00033592723737192981,0.054843230753693066,0.0057186403237409139,0.25710717916308024,0.40486873662721506,0.025249852900114167,0.00033663366210696986,0.047834417058482369,0.17728700472817924,0.023322719220514963,0.0034315855628731032
10,0.0046184250617054782,0.00057414055193521075,0.025192052774411409,0.040231650197882184,0.003208102192235275,1.7827622346367454e-05,0.005091431069433122,0.016375619646723856,0.0025530668644730835,0.0003800320097264031,0.047010532180425613,0.0058441248980384067,0.25642763319085149,0.40951433898566908,0.032654982885113218,0.00018146576004091233,0.051825217674013269,0.16668595551325077,0.025987437359602669,0.0038683115529945552
