analysis,criterion_id,domain,normalized_weight,weight_ci_low,weight_ci_high,raw_value,raw_ci_low,raw_ci_high
first_encounter_explanation_ddcdw,D1,D1_prior_testing_treatment,0.049964473114738402,0.044853379476118102,0.054837701022937099,0.0048656523440188003,0.0043386340247092998,0.0053525807194909998
first_encounter_explanation_ddcdw,D10,D10_consciousness_neurologic,0.0032335311406607001,0.0018156409284819999,0.0045628333850931003,0.0003148885076378,0.00017727338237309999,0.00044250504520309999
first_encounter_explanation_ddcdw,D2,D2_prior_utilization,0.0061416123651144997,0.0045412504029339997,0.0078569461434487998,0.0005980839732213,0.00043834176643019998,0.00075801273346780002
first_encounter_explanation_ddcdw,D3,D3_triage_urgency_pain,0.2599074786148784,0.25216638934723928,0.2669792324584831,0.025310372625093801,0.024339930363969899,0.0262174076955391
first_encounter_explanation_ddcdw,D4,D4_patient_vulnerability,0.40396766420667429,0.39351271192009912,0.41564209214016679,0.039339276284196902,0.038011788267093997,0.040717047213299599
first_encounter_explanation_ddcdw,D5,D5_respiratory_status,0.026675101165527799,0.022692564989237302,0.030183174523046401,0.0025976811206421002,0.0021908616518266999,0.0029620299967063998
first_encounter_explanation_ddcdw,D6,D6_prior_medication_device,0.00021528824964620001,7.1971342394591188e-05,0.0003472158085739,2.0965252132756591e-05,6.9983311179824571e-06,3.416576045739759e-05
first_encounter_explanation_ddcdw,D7,D7_circulatory_status,0.0507478841791155,0.045149883185422797,0.055542679730756002,0.0049419426688054003,0.0043490814169814002,0.0054210318701139997
first_encounter_explanation_ddcdw,D8,D8_arrival_mode,0.1743655038738724,0.16709511373696029,0.1820710190153699,0.0169801034565433,0.016016551263266701,0.017827602817144701
first_encounter_explanation_ddcdw,D9,D9_thermal_inflammatory,0.0247814630897716,0.021287558234266899,0.028189897494031401,0.0024132744018747999,0.0020713117037006999,0.0027366027919138
grouped_treeshap,D1,D1_prior_testing_treatment,0.12921480758519699,0.1267076083037523,0.1316424452445695,0.34242586181665691,0.33499228799410441,0.34949697393950802
grouped_treeshap,D10,D10_consciousness_neurologic,0.0110086040291348,0.0106094409302226,0.0114252005189521,0.029173364821902002,0.028144953586682099,0.030272618280205998
grouped_treeshap,D2,D2_prior_utilization,0.097349706579823406,0.094318494762693994,0.100632686416084,0.25798171119989832,0.24956935902207061,0.2675950091464338
grouped_treeshap,D3,D3_triage_urgency_pain,0.22791991245089971,0.2258346852329636,0.2301604610584457,0.60399944793260174,0.59825788352898734,0.61014114211337922
grouped_treeshap,D4,D4_patient_vulnerability,0.21944215658619709,0.21700536040231519,0.2215605862601232,0.58153296044177805,0.57567551603230249,0.58742476545519851
grouped_treeshap,D5,D5_respiratory_status,0.051244136740319197,0.050607921047901502,0.051946557996076802,0.13579958840850889,0.13399244676582789,0.13754629506802329
grouped_treeshap,D6,D6_prior_medication_device,0.0117308118644867,0.0115351527167065,0.011972254812470899,0.031087252595701002,0.030552943906871698,0.0317550376166717
grouped_treeshap,D7,D7_circulatory_status,0.080980841238920603,0.080160780315586294,0.081785487175267596,0.21460337921094449,0.2128158973797421,0.21661310654809809
grouped_treeshap,D8,D8_arrival_mode,0.12688663095683439,0.1256633192002144,0.12806838300312351,0.33625607444222749,0.33358948533323368,0.33869166608556139
grouped_treeshap,D9,D9_thermal_inflammatory,0.0442223919681866,0.043683802985737298,0.044809624536751899,0.11719160492744569,0.11577074350702669,0.1186635532089937
logistic_grouped_pfi,D1,D1_prior_testing_treatment,0.088779286849995295,0.082887443710523506,0.095137611148234796,0.0093110167193656002,0.0087095213929641001,0.0100152950944315
logistic_grouped_pfi,D10,D10_consciousness_neurologic,0.0057921162931437002,0.0044485029688599003,0.0070582460143069001,0.00060746705182580004,0.00046731878041349998,0.00074800983750080005
logistic_grouped_pfi,D2,D2_prior_utilization,0.16130937202912821,0.14841034907928199,0.17424112325578681,0.0169178455160531,0.015635237743302201,0.018359928617595202
logistic_grouped_pfi,D3,D3_triage_urgency_pain,0.2217504822498966,0.2144779090694082,0.22927301956821339,0.023256803709685199,0.022427609733991299,0.024002086816950201
logistic_grouped_pfi,D4,D4_patient_vulnerability,0.28159943847160551,0.27347156425817071,0.29030565035350292,0.029533657824975301,0.028468345612953298,0.0305258364239973
logistic_grouped_pfi,D5,D5_respiratory_status,0.025252917291778799,0.0225707936810399,0.027434066715392901,0.0026484819090041999,0.0023602607189214002,0.0028906159077247999
logistic_grouped_pfi,D6,D6_prior_medication_device,0.064202103624624599,0.058049408170947898,0.071230598514579996,0.0067334046203520997,0.0060835486889577999,0.0075026900921074998
logistic_grouped_pfi,D7,D7_circulatory_status,0.035920554506228698,0.032743321878437599,0.0391747060503835,0.0037672850891614998,0.0034211838191898999,0.0041004020852912996
logistic_grouped_pfi,D8,D8_arrival_mode,0.099173088357455405,0.094966605835069495,0.1047891593438883,0.010401100488310999,0.0099093399641259003,0.0110270979926714
logistic_grouped_pfi,D9,D9_thermal_inflammatory,0.016220640326142802,0.0139796511612528,0.018621365885402402,0.0017011924586724,0.0014661225831303999,0.0019523045843922
primary_ddcdw,D1,D1_prior_testing_treatment,0.1982408207226965,0.1875306125956975,0.20925160007815119,0.023101693658095598,0.021628642996956202,0.024586392223079599
primary_ddcdw,D10,D10_consciousness_neurologic,0.0058940222513306998,0.0049026870056919003,0.0069101312276156996,0.00068685095212909998,0.00056954999248120001,0.00080156144183039996
primary_ddcdw,D2,D2_prior_utilization,0.1270522749012101,0.11865666616718711,0.13643072092062539,0.0148058443393836,0.013809011257352099,0.015952079323915101
primary_ddcdw,D3,D3_triage_urgency_pain,0.1976621815093523,0.19265710103179171,0.20248108152606939,0.023034262814152801,0.022329010178124799,0.023670429192559898
primary_ddcdw,D4,D4_patient_vulnerability,0.27306741014162411,0.26556958042037559,0.28069566129780721,0.031821496874882102,0.030830216845810499,0.032874538475529402
primary_ddcdw,D5,D5_respiratory_status,0.023859636115842499,0.021697277862767199,0.025987763123455399,0.0027804465413954998,0.0025179802531589998,0.0030421727476904999
primary_ddcdw,D6,D6_prior_medication_device,0.0044147805938105997,0.0029876199432617,0.0058634275928737996,0.00051446976699400003,0.00034535731235759998,0.00068719000302549995
primary_ddcdw,D7,D7_circulatory_status,0.049130563305665897,0.045518399884722498,0.052077561700031097,0.0057253557496355001,0.0052744323811265001,0.0060902842447713001
primary_ddcdw,D8,D8_arrival_mode,0.097869110487326605,0.093471244433427803,0.1021955773952436,0.011405028494263499,0.010859328652953099,0.011953983735301901
primary_ddcdw,D9,D9_thermal_inflammatory,0.022809199971140202,0.020826623848062401,0.024876595168373799,0.0026580355569481998,0.0024225471194015001,0.0029003799220565
