panel,alternative_id,criterion_id,u0,u_lower,u_upper,interval_width,m_L,m_B,m_Neg,boundary_discordance,rho,ignorance_mass,epsilon_n,epsilon_p,config_threshold,config_target_mode,config_median_band_radius,config_epsilon_multiplier,config_nu,config_t2nn_weight,config_boundary_metric,config_rho_power,config_equal_spacing,p0_VWI,singleton_VWI,p0_PI,singleton_PI,p0_EI,singleton_EI,p0_SI,singleton_SI,p0_VSI,singleton_VSI,p0_AI,singleton_AI
A,A1,D1,0.46507754191594031,0.44753926588461213,0.49048504739091126,0.04294578150629913,0.20000000000000001,0.80000000000000004,0,0.053682226882873933,0.053682226882873933,0.042945781506299151,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.42141835724379306,0.39879568137762372,0.37858164275620698,0.35825853711607719,0.20000000000000001,0.20000000000000001,0,0
A,A1,D2,0.25109487416027149,0.24284471911864797,0.26596469999733041,0.023119980878682445,0,0.5,0.5,0.04623996175736491,0.04623996175736491,0.023119980878682455,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.5,0.5,0.35769535413687892,0.34115553464080256,0.14230464586312111,0.13572448448051502,0,0,0,0
A,A1,D3,0.93927252236547376,0.93927252236547376,0.93927252236547376,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0,0,0.19707785194600957,0.19707785194600957,0.80292214805399043,0.80292214805399043
A,A1,D4,0.56506597807995917,0.55393905772792407,0.57709426970179578,0.023155211973871714,0.40000000000000002,0.59999999999999998,0,0.038592019956452887,0.038592019956452887,0.023155211973871732,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.1576308887286603,0.15154759432509043,0.44236911127133971,0.42529719370103786,0.40000000000000002,0.40000000000000002,0,0
A,A1,D5,0.85253997720715569,0.85253997720715569,0.85253997720715569,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.10000000000000001,0.10000000000000001,0.33326648906356998,0.33326648906356998,0.56673351093642998,0.56673351093642998
A,A1,D6,0.53779702304148813,0.52559895745082352,0.55003021283612519,0.024431255385301665,0.20000000000000001,0.80000000000000004,0,0.030539069231627042,0.030539069231627042,0.024431255385301637,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.15529600078434169,0.15055340546499385,0.64470399921565835,0.62501533914970453,0.20000000000000001,0.20000000000000001,0,0
A,A1,D7,0.66854383339726342,0.66854383339726342,0.66854383339726342,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.16710252731961187,0.16710252731961187,0.83289747268038816,0.83289747268038816,0,0
A,A1,D8,0.52833696297411303,0.51355578580936123,0.54581110710642455,0.032255321297063322,0.30000000000000004,0.69999999999999996,0,0.046079030424376222,0.046079030424376222,0.032255321297063357,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.24097962486069263,0.22987551739508202,0.45902037513930732,0.43786916130785464,0.30000000000000004,0.30000000000000004,0,0
A,A1,D9,0.48422492802103029,0.47543237821900175,0.5008589784471088,0.025426600228107055,0.40000000000000002,0.59999999999999998,0,0.042377667046845091,0.042377667046845091,0.025426600228107055,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.45347473149750639,0.43425753031194758,0.14652526850249362,0.14031586945994537,0.40000000000000002,0.40000000000000002,0,0
A,A1,D10,0.90969735571386712,0.90969735571386712,0.90969735571386712,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.050000000000000003,0.050000000000000003,0.2204161286266958,0.2204161286266958,0.72958387137330427,0.72958387137330427
A,A2,D1,0.22046016680895741,0.22046016680895741,0.22046016680895741,0,0,0,1,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.43829788299388395,0.43829788299388395,0.56170211700611605,0.56170211700611605,0,0,0,0,0,0
A,A2,D2,0.22046016680895741,0.22046016680895741,0.22046016680895741,0,0,0,1,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.43829788299388395,0.43829788299388395,0.56170211700611605,0.56170211700611605,0,0,0,0,0,0
A,A2,D3,0.73482832843015866,0.73482832843015866,0.73482832843015866,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.15000000000000002,0.15000000000000002,0.6426325945285416,0.6426325945285416,0.20736740547145843,0.20736740547145843
A,A2,D4,0.46504674131460944,0.44456284098567028,0.48860981198698217,0.044046971001311885,0,1,0,0.044046971001311899,0.044046971001311899,0.044046971001311899,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.31940341476355694,0.30533466181574653,0.68059658523644306,0.65061836718294153,0,0,0,0
A,A2,D5,0.78897185937574887,0.78897185937574887,0.78897185937574887,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.10000000000000001,0.10000000000000001,0.53956302240323017,0.53956302240323017,0.36043697759676985,0.36043697759676985
A,A2,D6,0.29403216126773579,0.28450610181253011,0.31326809876660627,0.028761996954076163,0,0.80000000000000004,0.20000000000000001,0.03595249619259519,0.03595249619259519,0.028761996954076153,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.20000000000000001,0.20000000000000001,0.64737166514786071,0.62409703782143822,0.15262833485213934,0.14714096522448564,0,0,0,0
A,A2,D7,0.83143039507910355,0.83143039507910355,0.83143039507910355,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.050000000000000003,0.050000000000000003,0.47441456691309819,0.47441456691309819,0.47558543308690182,0.47558543308690182
