candidate,domain,raw_importance,raw_ci_low,raw_ci_high,normalized_weight,weight_ci_low,weight_ci_high,permutation_repeats,bootstrap_repeats,criterion_id
xgb_medium,D1_prior_testing_treatment,0.023101693658095598,0.021628642996956202,0.024586392223079599,0.1982408207226965,0.1875306125956975,0.20925160007815119,20,500,D1
xgb_medium,D2_prior_utilization,0.0148058443393836,0.013809011257352099,0.015952079323915101,0.1270522749012101,0.11865666616718711,0.13643072092062539,20,500,D2
xgb_medium,D3_triage_urgency_pain,0.023034262814152801,0.022329010178124799,0.023670429192559898,0.1976621815093523,0.19265710103179171,0.20248108152606939,20,500,D3
xgb_medium,D4_patient_vulnerability,0.031821496874882102,0.030830216845810499,0.032874538475529402,0.27306741014162411,0.26556958042037559,0.28069566129780721,20,500,D4
xgb_medium,D5_respiratory_status,0.0027804465413954998,0.0025179802531589998,0.0030421727476904999,0.023859636115842499,0.021697277862767199,0.025987763123455399,20,500,D5
xgb_medium,D6_prior_medication_device,0.00051446976699400003,0.00034535731235759998,0.00068719000302549995,0.0044147805938105997,0.0029876199432617,0.0058634275928737996,20,500,D6
xgb_medium,D7_circulatory_status,0.0057253557496355001,0.0052744323811265001,0.0060902842447713001,0.049130563305665897,0.045518399884722498,0.052077561700031097,20,500,D7
xgb_medium,D8_arrival_mode,0.011405028494263499,0.010859328652953099,0.011953983735301901,0.097869110487326605,0.093471244433427803,0.1021955773952436,20,500,D8
xgb_medium,D9_thermal_inflammatory,0.0026580355569481998,0.0024225471194015001,0.0029003799220565,0.022809199971140202,0.020826623848062401,0.024876595168373799,20,500,D9
xgb_medium,D10_consciousness_neurologic,0.00068685095212909998,0.00056954999248120001,0.00080156144183039996,0.0058940222513306998,0.0049026870056919003,0.0069101312276156996,20,500,D10
logistic_c1,D1_prior_testing_treatment,0.0093110167193656002,0.0087095213929641001,0.0100152950944315,0.088779286849995295,0.082887443710523506,0.095137611148234796,5,250,D1
logistic_c1,D2_prior_utilization,0.0169178455160531,0.015635237743302201,0.018359928617595202,0.16130937202912821,0.14841034907928199,0.17424112325578681,5,250,D2
logistic_c1,D3_triage_urgency_pain,0.023256803709685199,0.022427609733991299,0.024002086816950201,0.2217504822498966,0.2144779090694082,0.22927301956821339,5,250,D3
logistic_c1,D4_patient_vulnerability,0.029533657824975301,0.028468345612953298,0.0305258364239973,0.28159943847160551,0.27347156425817071,0.29030565035350292,5,250,D4
logistic_c1,D5_respiratory_status,0.0026484819090041999,0.0023602607189214002,0.0028906159077247999,0.025252917291778799,0.0225707936810399,0.027434066715392901,5,250,D5
logistic_c1,D6_prior_medication_device,0.0067334046203520997,0.0060835486889577999,0.0075026900921074998,0.064202103624624599,0.058049408170947898,0.071230598514579996,5,250,D6
logistic_c1,D7_circulatory_status,0.0037672850891614998,0.0034211838191898999,0.0041004020852912996,0.035920554506228698,0.032743321878437599,0.0391747060503835,5,250,D7
logistic_c1,D8_arrival_mode,0.010401100488310999,0.0099093399641259003,0.0110270979926714,0.099173088357455405,0.094966605835069495,0.1047891593438883,5,250,D8
logistic_c1,D9_thermal_inflammatory,0.0017011924586724,0.0014661225831303999,0.0019523045843922,0.016220640326142802,0.0139796511612528,0.018621365885402402,5,250,D9
logistic_c1,D10_consciousness_neurologic,0.00060746705182580004,0.00046731878041349998,0.00074800983750080005,0.0057921162931437002,0.0044485029688599003,0.0070582460143069001,5,250,D10
