domain,primary_raw_importance,primary_normalized_weight,primary_weight_ci_low,primary_weight_ci_high,first_encounter_raw_importance,first_encounter_raw_ci_low,first_encounter_raw_ci_high,first_encounter_normalized_weight,first_encounter_weight_ci_low,first_encounter_weight_ci_high,primary_rank,first_encounter_rank,first_encounter_raw_ci_crosses_zero
D1_prior_testing_treatment,0.023101693658095598,0.1982408207226965,0.1875306125956975,0.20925160007815119,0.0048656523440188003,0.0043386340247092998,0.0053525807194909998,0.049964473114738402,0.044853379476118102,0.054837701022937099,2,5,False
D2_prior_utilization,0.0148058443393836,0.1270522749012101,0.11865666616718711,0.13643072092062539,0.0005980839732213,0.00043834176643019998,0.00075801273346780002,0.0061416123651144997,0.0045412504029339997,0.0078569461434487998,4,8,False
D3_triage_urgency_pain,0.023034262814152801,0.1976621815093523,0.19265710103179171,0.20248108152606939,0.025310372625093801,0.024339930363969899,0.0262174076955391,0.2599074786148784,0.25216638934723928,0.2669792324584831,3,2,False
D4_patient_vulnerability,0.031821496874882102,0.27306741014162411,0.26556958042037559,0.28069566129780721,0.039339276284196902,0.038011788267093997,0.040717047213299599,0.40396766420667429,0.39351271192009912,0.41564209214016679,1,1,False
D5_respiratory_status,0.0027804465413954998,0.023859636115842499,0.021697277862767199,0.025987763123455399,0.0025976811206421002,0.0021908616518266999,0.0029620299967063998,0.026675101165527799,0.022692564989237302,0.030183174523046401,7,6,False
D6_prior_medication_device,0.00051446976699400003,0.0044147805938105997,0.0029876199432617,0.0058634275928737996,2.0965252132756591e-05,6.9983311179824571e-06,3.416576045739759e-05,0.00021528824964620001,7.1971342394591188e-05,0.0003472158085739,10,10,False
D7_circulatory_status,0.0057253557496355001,0.049130563305665897,0.045518399884722498,0.052077561700031097,0.0049419426688054003,0.0043490814169814002,0.0054210318701139997,0.0507478841791155,0.045149883185422797,0.055542679730756002,6,4,False
D8_arrival_mode,0.011405028494263499,0.097869110487326605,0.093471244433427803,0.1021955773952436,0.0169801034565433,0.016016551263266701,0.017827602817144701,0.1743655038738724,0.16709511373696029,0.1820710190153699,5,3,False
D9_thermal_inflammatory,0.0026580355569481998,0.022809199971140202,0.020826623848062401,0.024876595168373799,0.0024132744018747999,0.0020713117037006999,0.0027366027919138,0.0247814630897716,0.021287558234266899,0.028189897494031401,8,7,False
D10_consciousness_neurologic,0.00068685095212909998,0.0058940222513306998,0.0049026870056919003,0.0069101312276156996,0.0003148885076378,0.00017727338237309999,0.00044250504520309999,0.0032335311406607001,0.0018156409284819999,0.0045628333850931003,9,9,False
