site_id,layer,source_expert_id,target_expert_id,edge_value
A,influence,DM9,DM3,1
A,influence,DM9,DM4,1
A,influence,DM9,DM5,0
A,influence,DM9,DM6,0
A,influence,DM9,DM7,0
A,influence,DM9,DM8,1
A,influence,DM9,DM9,0
A,influence,DM9,DM10,0
A,influence,DM10,DM1,1
A,influence,DM10,DM2,0
A,influence,DM10,DM3,0
A,influence,DM10,DM4,0
A,influence,DM10,DM5,0
A,influence,DM10,DM6,1
A,influence,DM10,DM7,1
A,influence,DM10,DM8,0
A,influence,DM10,DM9,0
A,influence,DM10,DM10,0
