domain,primary_raw_importance,primary_normalized_weight,primary_weight_ci_low,primary_weight_ci_high,first_encounter_raw_importance,first_encounter_raw_ci_low,first_encounter_raw_ci_high,first_encounter_normalized_weight,first_encounter_weight_ci_low,first_encounter_weight_ci_high,primary_rank,first_encounter_rank,first_encounter_raw_ci_crosses_zero
D4_patient_vulnerability,0.0318214968748821,0.2730674101416241,0.2655695804203756,0.2806956612978072,0.0419072386164601,0.0407393367014669,0.0432706158631246,0.4148702498639089,0.4047842651686085,0.4259689688797571,1,1,False
D3_triage_urgency_pain,0.0230342628141528,0.1976621815093523,0.1926571010317917,0.2024810815260694,0.0247618837100438,0.0238536183441917,0.025799657988692,0.245135905419737,0.2376097348811648,0.2528808278646122,3,2,False
D8_arrival_mode,0.0114050284942635,0.0978691104873266,0.0934712444334278,0.1021955773952436,0.017709094218429,0.0168533873260052,0.0186341391471303,0.1753152101121126,0.1685320501691,0.1824517894604688,5,3,False
D7_circulatory_status,0.0057253557496355,0.0491305633056659,0.0455183998847225,0.0520775617000311,0.0061446249545917,0.0055543377106162,0.0067175205342247,0.0608301137080938,0.055016589023953,0.066133486830273,6,4,False
D1_prior_testing_treatment,0.0231016936580956,0.1982408207226965,0.1875306125956975,0.2092516000781512,0.0050839323434774,0.0045951073018395,0.0056201887698489,0.0503295457124499,0.0457408857156496,0.0552737061156808,2,5,False
D5_respiratory_status,0.0027804465413955,0.0238596361158425,0.0216972778627672,0.0259877631234554,0.0024730249228286,0.0021222966976879,0.0028330109739233,0.0244822732665233,0.0209642783295785,0.0276951427047222,7,6,False
D9_thermal_inflammatory,0.0026580355569482,0.0228091999711402,0.0208266238480624,0.0248765951683738,0.0022458720126804,0.0019061428816359,0.0025725597629316,0.0222335213157451,0.0188919080222314,0.0254479073194579,8,7,False
D2_prior_utilization,0.0148058443393836,0.1270522749012101,0.1186566661671871,0.1364307209206254,0.0003659190759452,0.0002338046186254,0.0004851239825869,0.0036224992025064,0.0023652433748739,0.0047749180733689,4,8,False
D10_consciousness_neurologic,0.0006868509521291,0.0058940222513307,0.0049026870056919,0.0069101312276157,0.0003019321324515,0.0001870684452919,0.0004287630461218,0.0029890458872403,0.0018646576481389,0.0042066055243879,9,9,False
D6_prior_medication_device,0.000514469766994,0.0044147805938106,0.0029876199432617,0.0058634275928738,1.935765487664424e-05,-5.084910268338966e-06,4.164091734339698e-05,0.0001916355116821,0.0,0.0004136021618567,10,10,True
