candidate,family,metric,estimate,ci95_low,ci95_high
xgb_medium,xgboost,auroc,0.8484423627296998,0.8444099639757437,0.8522131455212156
xgb_medium,xgboost,auprc,0.7930358861862127,0.7862427246303672,0.7993172089949974
xgb_medium,xgboost,brier,0.15415559046222485,0.1520965220315248,0.15629642218043974
xgb_medium,xgboost,log_loss,0.46900975213410545,0.4639514405203896,0.474415884270107
xgb_medium,xgboost,calibration_intercept,0.013203813317931842,-0.012199123836401567,0.03826837896218425
xgb_medium,xgboost,calibration_slope,1.0406249316062406,1.0212000890927,1.0589425069421408
logistic_c1,logistic,auroc,0.8328440132954205,0.8281536445722858,0.8372762320997567
logistic_c1,logistic,auprc,0.7703693150597206,0.762998288056227,0.7773394058342616
logistic_c1,logistic,brier,0.1620740511086836,0.1599820732319445,0.16459200416379477
logistic_c1,logistic,log_loss,0.4910540926796205,0.485714590234004,0.49738842528545174
logistic_c1,logistic,calibration_intercept,0.023034758216906474,-0.003962157984969815,0.05104173113095792
logistic_c1,logistic,calibration_slope,1.0403441847111872,1.0186350571719471,1.0604659440475683
