site_id,scenario,lambda_objective,alternative_id,spotis_D0,spotis_D_lower,spotis_D_upper,rank,necessary_outdegree,possible_outdegree,omitted_expert
B,leave_out_DM1,0.5,A1,0.39999784728749926,0.39121136251855826,0.40576616227765816,3,2,2,BDM1
B,leave_out_DM1,0.5,A2,0.44746412795474005,0.4395021170118147,0.45390825315446737,4,1,1,BDM1
B,leave_out_DM1,0.5,A3,0.5618751274241152,0.5458149840289993,0.573926382961124,5,0,0,BDM1
B,leave_out_DM1,0.5,A4,0.38208847937219603,0.3726981974665224,0.3897939682290993,2,3,3,BDM1
B,leave_out_DM1,0.5,A5,0.3432540406953214,0.333080153843851,0.35173382888179894,1,4,4,BDM1
B,leave_out_DM2,0.5,A1,0.40897804005472416,0.39994859795652443,0.4152162315976919,3,2,3,BDM2
B,leave_out_DM2,0.5,A2,0.46560205436975494,0.45831245047261315,0.4712679064861102,4,1,1,BDM2
B,leave_out_DM2,0.5,A3,0.5562221685555243,0.5415700923971353,0.5677627565057399,5,0,0,BDM2
B,leave_out_DM2,0.5,A4,0.40647192770319823,0.3949595506766415,0.4159014829809709,2,2,3,BDM2
B,leave_out_DM2,0.5,A5,0.3233247959555555,0.31419016660503946,0.33086126118584364,1,4,4,BDM2
B,leave_out_DM3,0.5,A1,0.4185829166148661,0.4087110768733938,0.42536256507376524,3,2,2,BDM3
B,leave_out_DM3,0.5,A2,0.5003923971479836,0.49302672896799293,0.5065277117458906,4,1,1,BDM3
B,leave_out_DM3,0.5,A3,0.5653182531111001,0.5514787644226711,0.5760624619218152,5,0,0,BDM3
B,leave_out_DM3,0.5,A4,0.36600830847635746,0.3561388864326998,0.3743279309921862,2,3,3,BDM3
B,leave_out_DM3,0.5,A5,0.34042968934968276,0.3322727560584279,0.3476176809157599,1,4,4,BDM3
B,leave_out_DM4,0.5,A1,0.4118043702122045,0.402106772546102,0.4183615305093719,3,2,3,BDM4
B,leave_out_DM4,0.5,A2,0.4646385994916584,0.4571392378244047,0.47088264902959864,4,1,1,BDM4
B,leave_out_DM4,0.5,A3,0.5414580615432701,0.5291518433484719,0.5504475298154795,5,0,0,BDM4
B,leave_out_DM4,0.5,A4,0.39641378131839833,0.3838804461771075,0.40661383384464034,2,2,3,BDM4
B,leave_out_DM4,0.5,A5,0.32220047531959095,0.3132466317862926,0.32969552493163523,1,4,4,BDM4
B,leave_out_DM5,0.5,A1,0.40678058726105504,0.39747490174967204,0.4130716470861916,3,2,3,BDM5
B,leave_out_DM5,0.5,A2,0.4520977230215103,0.44411578039361477,0.4584411966207508,4,1,1,BDM5
B,leave_out_DM5,0.5,A3,0.564565984671841,0.5500723908642974,0.5758158968725777,5,0,0,BDM5
B,leave_out_DM5,0.5,A4,0.402999596875447,0.3911393328829694,0.41276765085336875,2,2,3,BDM5
B,leave_out_DM5,0.5,A5,0.3347778801785242,0.3251924671157648,0.3427760231405478,1,4,4,BDM5
B,leave_out_DM6,0.5,A1,0.38518143538428257,0.3789717130657004,0.38969940365914785,3,2,3,BDM6
B,leave_out_DM6,0.5,A2,0.434760845958235,0.428906560428316,0.4397630981816347,4,1,1,BDM6
B,leave_out_DM6,0.5,A3,0.567676134536418,0.5522039586364819,0.5794463045308269,5,0,0,BDM6
B,leave_out_DM6,0.5,A4,0.3791268648330207,0.3689091891079173,0.3877299126817966,2,2,3,BDM6
B,leave_out_DM6,0.5,A5,0.33273320175024396,0.3237498660842822,0.339794120117162,1,4,4,BDM6
B,leave_out_DM7,0.5,A1,0.3971387905662593,0.38870710896349514,0.4028493136902139,3,2,3,BDM7
B,leave_out_DM7,0.5,A2,0.44162534810059045,0.43555363016072374,0.44643754910083927,4,1,1,BDM7
B,leave_out_DM7,0.5,A3,0.5638021092814142,0.5488532075572335,0.5749565089934375,5,0,0,BDM7
B,leave_out_DM7,0.5,A4,0.38814786833048504,0.3762246354489899,0.3980046647890315,2,2,3,BDM7
B,leave_out_DM7,0.5,A5,0.35937742728155025,0.3492659562188405,0.3676996003265203,1,4,4,BDM7
B,leave_out_DM8,0.5,A1,0.40222402949587477,0.39417015194567334,0.40795930776763245,2,2,3,BDM8
B,leave_out_DM8,0.5,A2,0.45089351586920445,0.4430576189495013,0.4571620671872547,4,1,1,BDM8
B,leave_out_DM8,0.5,A3,0.5534487715141947,0.5397668974887526,0.5636062514586226,5,0,0,BDM8
B,leave_out_DM8,0.5,A4,0.41758457405281896,0.40508169008792727,0.427932208758297,3,2,3,BDM8
B,leave_out_DM8,0.5,A5,0.31406343344319354,0.30655840017558844,0.3200939812047046,1,4,4,BDM8
B,leave_out_DM9,0.5,A1,0.3951851910167137,0.38680348621704796,0.4011937593011724,2,2,3,BDM9
