alternative_1,alternative_2,lambda_crossing,distance_at_crossing
A1,A4,0.624140230789358,0.38756985683726736
A1,A5,0.08882832870358413,0.3523985035209139
A2,A3,0.9714845394427023,0.48168451417439123
A2,A4,0.15200739781125497,0.40375217143214154
